# Name: Unique name given to the sample										
# FileName: xys filenames										
# Replicate: which replicate										
# Treatment: treatment name										
# Dye: Dye used										
# SubArray: Subarray hybed to										
# STC: Sample Tracking Control Applied										
# Design_ID: Array Design ID										
# Design_Name: Array Design Name										
# Slide_ID: Nimblegen Slide Barcode										
# Hyb_Date: Hybridization/Scanning Date										
Name	FileName	Replicate	Treatment	Dye	SubArray	STC	Design_ID	Design_Name	Slide_ID	Hyb_Date
1.UIC.Cy3	436279genepixA01_2010-08-06_7092010-Cy3.xys	1	UIC	Cy3	A01	1	10487	090818_Zv7_EXPR	436279	2010-08-06
1.isl2MO.Cy3	436279genepixA02_2010-08-06_7092010-Cy3.xys	1	isl2MO	Cy3	A02	3	10487	090818_Zv7_EXPR	436279	2010-08-06
1.Tf1bMO.Cy3	436279genepixA03_2010-08-06_7092010-Cy3.xys	1	Tf1bMO	Cy3	A03	5	10487	090818_Zv7_EXPR	436279	2010-08-06
1.isl2-Tf1bMOs.Cy3	436279genepixA04_2010-08-06_7092010-Cy3.xys	1	isl2-Tf1bMOs	Cy3	A04	7	10487	090818_Zv7_EXPR	436279	2010-08-06
2.UIC.Cy3	436279genepixA05_2010-08-06_7092010-Cy3.xys	2	UIC	Cy3	A05	9	10487	090818_Zv7_EXPR	436279	2010-08-06
2.isl2MO.Cy3	436279genepixA06_2010-08-06_7092010-Cy3.xys	2	isl2MO	Cy3	A06	11	10487	090818_Zv7_EXPR	436279	2010-08-06
2.Tf1bMO.Cy3	436279genepixA07_2010-08-06_7092010-Cy3.xys	2	Tf1bMO	Cy3	A07	13	10487	090818_Zv7_EXPR	436279	2010-08-06
2.isl2-Tf1bMOs.Cy3	436279genepixA08_2010-08-06_7092010-Cy3.xys	2	isl2-Tf1bMOs	Cy3	A08	15	10487	090818_Zv7_EXPR	436279	2010-08-06
3.UIC.Cy3	436279genepixA09_2010-08-06_7092010-Cy3.xys	3	UIC	Cy3	A09	16	10487	090818_Zv7_EXPR	436279	2010-08-06
3.isl2MO.Cy3	436279genepixA10_2010-08-06_7092010-Cy3.xys	3	isl2MO	Cy3	A10	17	10487	090818_Zv7_EXPR	436279	2010-08-06
3.Tf1bMO.Cy3	436279genepixA11_2010-08-06_7092010-Cy3.xys	3	Tf1bMO	Cy3	A11	18	10487	090818_Zv7_EXPR	436279	2010-08-06
3.isl2-Tf1bMOs.Cy3	436279genepixA12_2010-08-06_7092010-Cy3.xys	3	isl2-Tf1bMOs	Cy3	A12	20	10487	090818_Zv7_EXPR	436279	2010-08-06
